,novel_obj_list,check_obj_list,mahanalobis_distance,p_value,significance
189,novel_object_5_1_7,bird_red,987.9235390424728,0.0,True
190,novel_object_5_1_7,bird_white,972.6655834764242,0.0,True
191,novel_object_5_1_7,bird_yellow,958.6922482252121,0.0,True
192,novel_object_5_1_7,tnt,1236.5505639463663,0.0,True
193,novel_object_5_1_7,platform,904.1668246090412,0.0,True
194,novel_object_5_1_7,ice,1020.2288068942726,0.0,True
195,novel_object_5_1_7,pig,992.8501488678157,0.0,True
196,novel_object_5_1_7,stone,1310.6230019032955,0.0,True
197,novel_object_5_1_7,wood,1039.6980359125882,0.0,True
198,novel_object_6_1_7,bird_black,357.1913569122553,2.928585957573393e-05,True
199,novel_object_6_1_7,bird_blue,2143.755322933197,0.0,True
200,novel_object_6_1_7,bird_red,901.1996491774917,0.0,True
201,novel_object_6_1_7,bird_white,1179.1813109405339,0.0,True
202,novel_object_6_1_7,bird_yellow,972.616496730363,0.0,True
203,novel_object_6_1_7,tnt,1109.713912345469,0.0,True
204,novel_object_6_1_7,platform,1449.9074050113559,0.0,True
205,novel_object_6_1_7,ice,1013.0381878180197,0.0,True
206,novel_object_6_1_7,pig,994.6680163703859,0.0,True
207,novel_object_6_1_7,stone,981.089242208749,0.0,True
208,novel_object_6_1_7,wood,951.3323553400114,0.0,True
209,novel_object_7_1_7,bird_black,986.1638623380568,0.0,True
210,novel_object_7_1_7,bird_blue,867.3695958256721,0.0,True
211,novel_object_7_1_7,bird_red,1002.610794365406,0.0,True
212,novel_object_7_1_7,bird_white,766.9381909221411,0.0,True
213,novel_object_7_1_7,bird_yellow,890.9806009754539,0.0,True
214,novel_object_7_1_7,tnt,827.6616613864899,0.0,True
215,novel_object_7_1_7,platform,1082.2890578322113,0.0,True
216,novel_object_7_1_7,ice,1004.6525454998482,0.0,True
217,novel_object_7_1_7,pig,962.7875964315608,0.0,True
218,novel_object_7_1_7,stone,987.8882987070829,0.0,True
219,novel_object_7_1_7,wood,993.8820718058851,0.0,True
